,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,url
Just Let It Go,4IDe0WWK5PbypEgZ7Lusec,0.806,0.443,-8.643,0.0358,0.0748,0.000882,0.0922,0.649,119.922,3,1,https://open.spotify.com/track/4IDe0WWK5PbypEgZ7Lusec
"I Can't Help Myself (Sugar Pie, Honey Bunch)",601i9ltmAT6TZiS0Ctrv2P,0.692,0.232,-13.593,0.0292,0.898,0.0,0.108,0.234,107.985,1,1,https://open.spotify.com/track/601i9ltmAT6TZiS0Ctrv2P
Behind the Light,3crPGxHwf3PZSxOqaXO3Q5,0.208,0.442,-13.192,0.0308,0.658,0.555,0.131,0.534,82.067,1,1,https://open.spotify.com/track/3crPGxHwf3PZSxOqaXO3Q5
leading me on - acoustic,1ABFvT2I5TSJC0gjfyfpfx,0.655,0.321,-7.6,0.0385,0.398,0.0,0.141,0.619,127.669,6,1,https://open.spotify.com/track/1ABFvT2I5TSJC0gjfyfpfx
Hotel Walls - Acoustic Version,5pW8171RuTAYU9hAN54QpM,0.586,0.479,-8.853,0.0328,0.682,0.0,0.0605,0.2,137.892,11,1,https://open.spotify.com/track/5pW8171RuTAYU9hAN54QpM
Hold My Girl (Acoustic Version),6jR6rBNVF9bHpvdNNqOjvg,0.711,0.395,-7.327,0.0311,0.89,0.0,0.0845,0.519,122.043,10,1,https://open.spotify.com/track/6jR6rBNVF9bHpvdNNqOjvg
Acapella,782iR5tNx93ayC8lwFjKv5,0.8,0.671,-7.22,0.105,0.517,0.00157,0.0687,0.96,81.992,2,1,https://open.spotify.com/track/782iR5tNx93ayC8lwFjKv5
Under The Sun - Acoustic,1YPx23eaxwbbQc8Ne6zSQq,0.907,0.333,-11.178,0.079,0.896,0.0,0.332,0.615,105.896,4,1,https://open.spotify.com/track/1YPx23eaxwbbQc8Ne6zSQq
Here I Go Again,1H7w7BA05jZOr7DWxnM97h,0.313,0.317,-10.903,0.046,0.883,0.0,0.118,0.444,79.007,3,1,https://open.spotify.com/track/1H7w7BA05jZOr7DWxnM97h
Ol' Sweet Day,5FJGb4bs2Y4BbiX59zXksH,0.393,0.558,-9.429,0.0475,0.603,4.85e-05,0.108,0.336,112.64,3,1,https://open.spotify.com/track/5FJGb4bs2Y4BbiX59zXksH
What About Us - Acoustic,7e4Pftu2tzDeY0W0690OKQ,0.427,0.229,-11.564,0.0364,0.935,7.37e-06,0.0958,0.222,125.195,4,1,https://open.spotify.com/track/7e4Pftu2tzDeY0W0690OKQ
Wake Up Sleeper - Acoustic,1gwPB3AVPLhn4SPa7SmM93,0.524,0.283,-11.691,0.0319,0.825,0.0,0.148,0.232,115.188,1,1,https://open.spotify.com/track/1gwPB3AVPLhn4SPa7SmM93
Little Love,4I6oc3FccCUbVMOI7hXJzR,0.495,0.287,-7.802,0.044,0.798,0.0,0.106,0.336,130.085,9,1,https://open.spotify.com/track/4I6oc3FccCUbVMOI7hXJzR
Big Yellow Taxi - Live from Spotify Studios NYC,0e3ujCTfBtvX8HdQrEUBd9,0.535,0.282,-8.319,0.211,0.821,0.0,0.0968,0.863,166.078,3,1,https://open.spotify.com/track/0e3ujCTfBtvX8HdQrEUBd9
Forgive Me Friend - Acoustic Version,4eQWC9bpUAQT88QNBS2Z7C,0.634,0.622,-9.426,0.0341,0.72,0.0,0.277,0.404,119.992,11,1,https://open.spotify.com/track/4eQWC9bpUAQT88QNBS2Z7C
Better Together,2iXdwVdzA0KrI2Q0iZNJbX,0.871,0.346,-9.481,0.0522,0.298,9.24e-06,0.108,0.659,110.054,5,1,https://open.spotify.com/track/2iXdwVdzA0KrI2Q0iZNJbX
Hold My Girl,1kjrgWG47wJgVqvQOvyb7C,0.614,0.527,-6.374,0.0302,0.597,0.0,0.11,0.354,121.941,10,1,https://open.spotify.com/track/1kjrgWG47wJgVqvQOvyb7C
Feels Like Home,5z389dy6N80WE9rSkfwDn0,0.602,0.213,-10.769,0.0296,0.871,0.0,0.107,0.238,97.974,0,1,https://open.spotify.com/track/5z389dy6N80WE9rSkfwDn0
When We Were Young,4oUAJMuXoDI5oITTy1PAoP,0.592,0.36,-10.157,0.146,0.783,0.0,0.306,0.551,90.351,4,1,https://open.spotify.com/track/4oUAJMuXoDI5oITTy1PAoP
Dreamers Of The Shore,6ZyZGbujKBzxfzcjVOvGW5,0.648,0.704,-8.419,0.0325,0.833,0.000252,0.362,0.438,107.97,2,1,https://open.spotify.com/track/6ZyZGbujKBzxfzcjVOvGW5
Perfect To Me - Acoustic,5OWrEfTdsOsTxMbznYDVL0,0.675,0.407,-9.351,0.0407,0.257,4.48e-06,0.116,0.385,88.513,1,1,https://open.spotify.com/track/5OWrEfTdsOsTxMbznYDVL0
September Song - Guitar Acoustic,7hmcaSpHioj7SGfOU565WI,0.595,0.419,-7.91,0.0295,0.313,0.0,0.107,0.524,94.853,0,0,https://open.spotify.com/track/7hmcaSpHioj7SGfOU565WI
Brown Eyed Girl,7Gs9vEfo69lSwsTz4MRuBG,0.636,0.165,-12.508,0.0314,0.841,0.0,0.163,0.408,127.839,11,1,https://open.spotify.com/track/7Gs9vEfo69lSwsTz4MRuBG
Peer Pressure (Acoustic) [feat. Julia Michaels],2hFFke3WXVA9mV31XNy0dP,0.664,0.45,-6.844,0.0285,0.75,0.0,0.1,0.512,135.923,4,1,https://open.spotify.com/track/2hFFke3WXVA9mV31XNy0dP
Just You and I,2yPqhfL7EeQlEdz7rAQfU9,0.505,0.522,-7.586,0.39,0.691,2.78e-06,0.111,0.381,172.059,9,1,https://open.spotify.com/track/2yPqhfL7EeQlEdz7rAQfU9
I Don't Care - Acoustic,1m84zLz4WizjR4mCDoXReg,0.706,0.349,-8.125,0.0302,0.791,0.0,0.108,0.624,94.058,6,1,https://open.spotify.com/track/1m84zLz4WizjR4mCDoXReg
I'm In A Hurry,7rDq2VT10fuTB0h4Hwx7oC,0.79,0.508,-7.234,0.031,0.127,0.0,0.323,0.621,113.011,9,1,https://open.spotify.com/track/7rDq2VT10fuTB0h4Hwx7oC
Please Keep Loving Me,78zUxUPvONPgMIt46q5be6,0.537,0.469,-8.486,0.0764,0.117,1.78e-06,0.106,0.294,175.971,5,1,https://open.spotify.com/track/78zUxUPvONPgMIt46q5be6
Never Let You Go - Acoustic,06VK1j4uZTHLb4SnpGY0Z8,0.733,0.291,-9.201,0.0291,0.638,0.000131,0.0918,0.646,111.99,3,1,https://open.spotify.com/track/06VK1j4uZTHLb4SnpGY0Z8
Us - Acoustic,0GTPn99cNZRVl2Kv0bcwNI,0.373,0.249,-8.025,0.0461,0.871,0.0,0.0962,0.21,71.552,0,1,https://open.spotify.com/track/0GTPn99cNZRVl2Kv0bcwNI
Colors,72usYeVMCh8uc3h2Z5K3JF,0.517,0.291,-9.194,0.0286,0.542,1.03e-06,0.163,0.452,155.451,4,1,https://open.spotify.com/track/72usYeVMCh8uc3h2Z5K3JF
Look Away - Acoustic,5haEwf9UsvjWq0aovDAofJ,0.696,0.188,-14.328,0.0324,0.793,0.0,0.0986,0.713,106.433,6,1,https://open.spotify.com/track/5haEwf9UsvjWq0aovDAofJ
Human Nature,6OtBIOTGkUT3ok8YXxs0Wl,0.717,0.292,-11.542,0.0733,0.796,0.0,0.126,0.502,140.157,9,0,https://open.spotify.com/track/6OtBIOTGkUT3ok8YXxs0Wl
Wasn't Expecting That,7nm68uKwGwMqznlOSBxhps,0.591,0.415,-6.936,0.0437,0.424,0.000299,0.111,0.197,90.483,6,1,https://open.spotify.com/track/7nm68uKwGwMqznlOSBxhps
Sorry I'm Gone (feat. Emily Reid),5n7qpik8TgQGGNYBsAktkr,0.574,0.326,-11.284,0.0301,0.709,9.96e-05,0.111,0.563,147.921,3,1,https://open.spotify.com/track/5n7qpik8TgQGGNYBsAktkr
When You Love Someone,5fX2oPyLCe5mBKqGDbOWqC,0.68,0.446,-6.039,0.0281,0.256,0.0,0.0515,0.339,125.863,7,1,https://open.spotify.com/track/5fX2oPyLCe5mBKqGDbOWqC
What A Time,6OvggaFiCsjOLvng2qZq3k,0.617,0.421,-10.535,0.028,0.782,0.0164,0.0931,0.566,131.947,3,1,https://open.spotify.com/track/6OvggaFiCsjOLvng2qZq3k
The Way You Make Me Feel,3kYhNTBsprEoL1x66oguBj,0.882,0.328,-9.009,0.0646,0.839,0.0,0.332,0.723,110.102,2,1,https://open.spotify.com/track/3kYhNTBsprEoL1x66oguBj
Don't Call Me Up - Acoustic,3a8gsld8gQzvfyLfPO1LP1,0.52,0.425,-5.736,0.0383,0.807,0.0,0.149,0.673,92.251,9,1,https://open.spotify.com/track/3a8gsld8gQzvfyLfPO1LP1
A Sky Full of Stars,18PrtmAcNMgZNy1edWuXGb,0.643,0.11,-14.28,0.0294,0.876,1.38e-05,0.112,0.152,101.995,6,1,https://open.spotify.com/track/18PrtmAcNMgZNy1edWuXGb
Senorita - Acoustic,69jAWn8c3I81SHphhF6zHj,0.761,0.237,-9.12,0.0353,0.664,0.0,0.155,0.846,114.102,0,1,https://open.spotify.com/track/69jAWn8c3I81SHphhF6zHj
You Come First - Acoustic Version,07ybeC5DaFdryi4P2Bw1VN,0.612,0.294,-7.304,0.0855,0.667,0.0,0.107,0.574,102.002,10,0,https://open.spotify.com/track/07ybeC5DaFdryi4P2Bw1VN
Castle on the Hill - Acoustic,5X6TnKT37TaSDkFm0598Uo,0.563,0.26,-5.856,0.0391,0.518,0.0,0.146,0.616,145.561,2,1,https://open.spotify.com/track/5X6TnKT37TaSDkFm0598Uo
All Time Low (Acoustic),33CE4nXLOB9O3lZTqawwow,0.535,0.24,-11.334,0.0371,0.756,0.000619,0.181,0.518,91.304,1,1,https://open.spotify.com/track/33CE4nXLOB9O3lZTqawwow
Nervous,18Kh3fJ4fw3EfjNTtsXWYa,0.543,0.673,-10.046,0.0384,0.375,7.65e-05,0.127,0.159,83.102,7,1,https://open.spotify.com/track/18Kh3fJ4fw3EfjNTtsXWYa
Circles - Acoustic,46FCnpkDQSxyQThtxrUWA7,0.749,0.336,-8.452,0.0296,0.379,0.0,0.143,0.321,115.02,0,1,https://open.spotify.com/track/46FCnpkDQSxyQThtxrUWA7
H.O.L.Y. - Acoustic,3wH9KuHeuYHNRF2Yt6z0cc,0.542,0.398,-6.533,0.0263,0.75,0.0,0.104,0.561,78.063,10,1,https://open.spotify.com/track/3wH9KuHeuYHNRF2Yt6z0cc
Youngblood,5ZTx6tDndk4sh0POJqcVJ7,0.714,0.542,-7.653,0.0392,0.527,0.0,0.1,0.676,120.183,4,0,https://open.spotify.com/track/5ZTx6tDndk4sh0POJqcVJ7
Sweet but Psycho - Acoustic,10WVEHOf1FZf5XgK6dUWvN,0.817,0.45,-7.434,0.0376,0.785,0.0,0.0461,0.635,126.992,1,1,https://open.spotify.com/track/10WVEHOf1FZf5XgK6dUWvN
Favourite Ex,1a1SQeSqUKzH5OUVTEx4ae,0.396,0.177,-10.277,0.0378,0.718,0.0,0.139,0.221,177.215,5,1,https://open.spotify.com/track/1a1SQeSqUKzH5OUVTEx4ae
Budapest - Acoustic Live Lounge,4D1Ua4Opv3fF9WJ0n9UYHd,0.729,0.326,-8.745,0.0308,0.85,0.0,0.103,0.654,127.897,5,1,https://open.spotify.com/track/4D1Ua4Opv3fF9WJ0n9UYHd
Gravity,5EjG2jgzovOhN3OzWCcbdu,0.787,0.423,-5.313,0.0428,0.509,0.0,0.108,0.534,95.068,1,1,https://open.spotify.com/track/5EjG2jgzovOhN3OzWCcbdu
Dear Future Husband,2OdpaewWP74b0lJ97gfWMz,0.553,0.486,-8.395,0.0347,0.73,9.64e-06,0.193,0.965,154.869,2,1,https://open.spotify.com/track/2OdpaewWP74b0lJ97gfWMz
Stole the Show,04SaNxbEN3fysbISrIiYod,0.564,0.455,-11.296,0.126,0.889,1.25e-05,0.108,0.451,178.064,4,0,https://open.spotify.com/track/04SaNxbEN3fysbISrIiYod
Sucker (Acoustic),0hT0GZMD74R16Zkq3nmJKh,0.766,0.283,-12.752,0.0538,0.849,0.0,0.114,0.474,137.917,3,0,https://open.spotify.com/track/0hT0GZMD74R16Zkq3nmJKh
Shouldn't Matter but It Does,3MthJpM1IEYp2ulZe00LvP,0.549,0.324,-11.769,0.0285,0.457,2.2e-06,0.133,0.268,80.888,4,1,https://open.spotify.com/track/3MthJpM1IEYp2ulZe00LvP
Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,0.592,0.416,-9.794,0.0246,0.882,0.000586,0.112,0.417,96.002,1,1,https://open.spotify.com/track/41yIvlFgvGwxq8qTqAR7eG
Front Porch,0XIUYBQlVNG1c5vjSQKCYU,0.567,0.224,-10.024,0.0299,0.887,0.0,0.109,0.2,124.44,1,1,https://open.spotify.com/track/0XIUYBQlVNG1c5vjSQKCYU
Rely On Me,2amrY1Qly3pMNfqVPsAbBo,0.584,0.262,-10.169,0.0266,0.417,0.0,0.0945,0.219,140.983,9,0,https://open.spotify.com/track/2amrY1Qly3pMNfqVPsAbBo
